id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
59a7a980-b4c9-4fd9-a333-a1d9320b6769,Maria Flor Silveira,1937-11-26,943.771.420-08,03587-127,Pastor da Serra,MT,Brasil,M,+55 31 2229 6774,94377142008@exemplo.com.br,2025-03-27
22de8f91-9553-4851-94aa-6d98a55091d7,Maitê Santos,1968-11-15,036.147.391-68,94008-053,Cardoso de Dias,CE,Brasil,M,+55 61 4524-4855,03614739168@exemplo.com.br,2023-08-25
e697dcba-8a94-4add-a5f7-86dcb5862a3a,Eduardo Costa,1989-07-02,855.445.423-24,16307-011,Pires,RJ,Brasil,F,61 0181 4277,85544542324@exemplo.com.br,2024-04-22
fba13fe4-ea46-4bd4-b3ab-cc4efe283676,Maria Eduarda Moreira,1979-11-30,802.617.027-40,79705460,Monteiro,RO,Brasil,M,0900-336-1468,80261702740@exemplo.com.br,2025-01-12
fe209cc7-e845-4454-b397-6521e55af482,Dr. Pedro Lucas Peixoto,1970-07-20,395.519.593-40,81650107,da Cruz de Minas,RS,Brasil,M,(051) 4272 2114,39551959340@exemplo.com.br,2025-04-26
31c926d5-2c43-487a-9152-737b850cf593,Pietra Nascimento,1992-08-16,418.704.765-37,07534-451,da Mota de Costela,GO,Brasil,M,+55 (084) 0047 5051,41870476537@exemplo.com.br,2023-06-22
7e452525-498a-4d2f-82bd-11a350c1fa4f,Clarice Mendes,2003-12-14,588.371.746-53,50885-443,Porto de da Rosa,SC,Brasil,M,+55 71 7336-5400,58837174653@exemplo.com.br,2023-12-30
81b3fa55-063e-4ff1-81c9-4e9ebb40ce87,Dr. João Gabriel Aparecida,1934-12-07,397.512.504-79,82456-792,Santos,PR,Brasil,M,31 9509-7380,39751250479@exemplo.com.br,2025-03-26
9ac37ec8-a5f6-4f9c-b342-576515bcbc7f,Amanda Caldeira,1982-10-18,675.751.792-89,49204-750,Barbosa da Mata,CE,Brasil,F,0300-475-7041,67575179289@exemplo.com.br,2025-06-02
1fd521cf-8c39-41ac-9da8-77e6fdf88d57,Dr. Daniel Machado,1981-05-11,319.574.599-67,43031-268,Jesus Verde,SC,Brasil,M,(031) 0699 6050,31957459967@exemplo.com.br,2024-07-19
92eb4868-ff1f-4ab8-8d8a-27a5aa840088,Maria Liz Gomes,1941-10-05,727.826.608-54,88992-423,Fernandes do Galho,RS,Brasil,M,+55 (061) 7760-7663,72782660854@exemplo.com.br,2023-09-29
adff0f06-cd11-4592-aaa4-d7bff7075885,Samuel Peixoto,1991-03-08,289.831.441-81,66021875,Costela,RO,Brasil,M,+55 21 8500 5991,28983144181@exemplo.com.br,2024-05-05
c6458d48-6194-4322-a70f-080789f34f50,Luan Porto,1957-04-15,261.065.643-30,75189685,Sampaio,PA,Brasil,M,+55 61 0089-6197,26106564330@exemplo.com.br,2024-11-02
37a785a2-a36e-43ae-b1c2-153bbf6e537f,Diogo Porto,1942-07-06,919.123.190-02,21697699,Vargas das Flores,SP,Brasil,M,21 7599 9599,91912319002@exemplo.com.br,2023-12-09
9dd7e165-6516-4dd3-8446-97e391c45714,Lívia da Cruz,1995-08-08,795.290.380-81,12377795,da Cruz Alegre,AM,Brasil,M,+55 11 1394 9735,79529038081@exemplo.com.br,2023-12-11
821b86c5-a110-40be-bdee-993b9e9f79e8,Enzo Gabriel Machado,1935-12-25,526.365.425-29,00008-978,Pastor de Minas,AP,Brasil,M,+55 (051) 5718-8229,52636542529@exemplo.com.br,2023-06-11
e995848d-610f-4e29-9343-c961c8d27185,Asafe Silveira,2006-01-24,899.565.069-75,39776-373,Dias de Alves,RJ,Brasil,F,(021) 8487-4559,89956506975@exemplo.com.br,2023-10-16
248df4bc-4f23-436d-ae1e-c4686629cefa,Dr. Lucas Costela,1938-02-03,151.372.898-50,07780292,Garcia,SC,Brasil,M,+55 51 2599 8191,15137289850@exemplo.com.br,2024-10-06
8843a3b0-7172-4695-ae12-f304140278a7,Srta. Ana Clara Abreu,1974-10-23,301.182.925-68,86679-089,Peixoto,AL,Brasil,F,0500-580-1362,30118292568@exemplo.com.br,2025-01-01
b212e2bf-d2f9-4abc-ac93-e1e605522ca2,Rebeca Lima,1955-07-19,327.951.358-55,47036977,Cavalcante,SP,Brasil,F,51 5249 7116,32795135855@exemplo.com.br,2023-06-29
2ae9fbe2-457c-4834-85b6-834979d457ec,Sr. Danilo Alves,2005-02-09,587.386.694-89,78430-767,Mendonça Grande,SE,Brasil,M,0500-399-1095,58738669489@exemplo.com.br,2023-06-06
4b3acfa4-5bef-454b-88c3-36eaf301a253,Sr. Pedro Henrique Cavalcanti,1947-07-08,805.461.723-00,87886-450,Siqueira,PA,Brasil,M,0500-394-0418,80546172300@exemplo.com.br,2025-03-10
64acc897-83d0-400b-b0d2-3acd069adea8,Pedro Henrique Duarte,2003-11-07,934.820.378-89,53322821,Pimenta,BA,Brasil,F,+55 (084) 3402-5716,93482037889@exemplo.com.br,2025-01-14
97c34117-8f32-4716-bc95-0d1e543d0ea3,Kaique Dias,1964-02-19,393.261.353-50,66234470,Aragão dos Dourados,AL,Brasil,F,51 4705 0613,39326135350@exemplo.com.br,2024-03-30
987ea262-7219-4727-9ec3-3793c0194518,Maria Fernanda Rezende,1949-05-18,201.341.527-89,84960-517,Gonçalves das Flores,PE,Brasil,F,+55 71 1385 0891,20134152789@exemplo.com.br,2024-08-15
edef5b47-e1a4-4f13-b2c0-01fc00982c57,Maria Luiza Mendes,1943-08-03,411.290.589-81,06115190,das Neves dos Dourados,SE,Brasil,M,84 3097 8251,41129058981@exemplo.com.br,2025-04-29
8d87467b-500f-4063-9669-770aafdb6c2e,Isis Costa,2005-08-07,272.088.706-90,82163-240,Azevedo,RR,Brasil,M,(021) 3468 4569,27208870690@exemplo.com.br,2023-10-12
40320024-e834-49bf-b144-7977f72a0841,Vitor Fernandes,1937-12-15,942.064.736-11,57239-549,da Conceição,PR,Brasil,F,+55 11 9781-0994,94206473611@exemplo.com.br,2024-03-23
239ab50b-a60e-4a1e-ad1a-02bbebf73a9f,Sr. Miguel Azevedo,1984-08-09,569.090.944-15,40818549,Porto das Pedras,ES,Brasil,M,+55 (071) 8044-0466,56909094415@exemplo.com.br,2023-08-29
ef285c2d-ede7-43b0-bec9-4f3161bedcc1,Dra. Catarina Almeida,2005-11-15,325.377.324-08,62251-078,Gonçalves do Sul,TO,Brasil,M,61 9336-4913,32537732408@exemplo.com.br,2024-03-12
7c1e866b-a46d-438a-9ce2-8166e9a71248,Laís Almeida,1970-10-13,042.019.625-42,63310866,Dias,MG,Brasil,F,(041) 1609 1157,04201962542@exemplo.com.br,2023-07-01
5619954d-13ae-4924-81ae-b7599095621f,Dr. Nicolas Cunha,1957-08-21,583.732.747-92,78198-570,da Conceição do Campo,PB,Brasil,M,11 9212 6902,58373274792@exemplo.com.br,2023-09-27
f89b1361-299d-4f3d-8e45-d025b6f41276,Isaac Jesus,1956-02-22,456.752.670-35,14858214,Moura do Oeste,RJ,Brasil,F,51 9635 7941,45675267035@exemplo.com.br,2025-02-18
aba25008-844b-487e-a3da-d0b0d0d34a26,Srta. Emilly da Conceição,1957-09-22,145.128.595-57,61849338,Martins,CE,Brasil,F,+55 51 5864 4781,14512859557@exemplo.com.br,2024-11-22
b59600c5-79b9-4884-80b2-5df9ee4d58bc,João Vitor Costela,1993-04-10,225.837.530-34,04005328,da Mata de Silveira,SP,Brasil,F,+55 (031) 3044-5351,22583753034@exemplo.com.br,2024-06-25
6c63cea0-2de8-41cf-8f3b-00b89067344a,Fernanda Moraes,2007-03-25,646.952.498-71,79826-496,Duarte,BA,Brasil,M,84 7760-8248,64695249871@exemplo.com.br,2023-11-25
5f0ecb34-f690-4d7e-800c-2a74795bb7e4,Maysa Rodrigues,1986-09-07,076.541.405-12,75655577,Lopes,SP,Brasil,F,11 9675-5095,07654140512@exemplo.com.br,2024-03-23
366314d7-6b14-481b-b601-e3cc025fe5c4,Thiago Ramos,2000-04-13,620.420.617-53,72131021,Moura,GO,Brasil,M,0300-491-0211,62042061753@exemplo.com.br,2025-04-16
e0ad8d29-f40a-4ca3-9d85-2a444af203e7,Pietro da Luz,1942-02-03,751.273.297-53,78023685,da Rosa,RS,Brasil,F,+55 11 3205 6210,75127329753@exemplo.com.br,2023-08-10
44d7a5f9-5ca3-4a25-8fa1-5912d85b2ea7,Raquel Cardoso,1974-07-18,999.375.294-76,65262256,Mendonça Grande,RO,Brasil,M,+55 11 8563 6770,99937529476@exemplo.com.br,2023-07-21
43e1443a-8ba9-4c89-b036-2cd7e30edac0,Pedro Miguel Machado,2002-10-19,223.880.167-86,53361844,Sales dos Dourados,MT,Brasil,F,+55 21 3182-0177,22388016786@exemplo.com.br,2023-10-23
38900a38-614e-40ae-bbf8-308cf1277965,Pedro Lucas Santos,1957-03-17,897.266.015-68,98955-813,Castro,PB,Brasil,F,(041) 0919 4463,89726601568@exemplo.com.br,2024-05-18
69f33dae-0913-487e-b504-e79331b7df33,Maria Luísa Pimenta,2000-06-04,907.740.877-38,15640-754,Leão do Norte,SE,Brasil,M,0900 065 3503,90774087738@exemplo.com.br,2023-11-21
f1c8c9c7-5572-4ebe-98b5-808c7e47a744,Davi Miguel Moreira,1984-07-06,577.127.818-14,03033-985,da Cruz,AP,Brasil,M,+55 41 5508 1019,57712781814@exemplo.com.br,2024-03-06
67d961d1-97ab-4fdb-a5a8-176e47848d1a,Mateus Fernandes,1967-04-20,189.828.425-40,02865-017,Novais de Minas,AM,Brasil,M,0800 381 9622,18982842540@exemplo.com.br,2024-06-19
9fab3d6c-c6ba-4699-b655-66fcca5751c7,Levi Abreu,1963-12-08,367.606.037-68,83389-653,Freitas Verde,PB,Brasil,M,(061) 1158-8647,36760603768@exemplo.com.br,2023-11-26
2a996370-9919-4630-84e6-f33c5f04a77e,Dom Martins,1947-02-22,515.171.249-59,46077832,da Paz,RO,Brasil,F,(071) 5885-8894,51517124959@exemplo.com.br,2024-03-13
96250b31-145a-459f-b19c-faa7a7fa5f56,Dra. Evelyn Farias,1949-03-06,522.276.011-75,36553582,Caldeira da Praia,RR,Brasil,M,11 2870-1912,52227601175@exemplo.com.br,2023-12-18
e18fe19c-b1e8-421a-80e1-45de7df19e7f,Vicente Nogueira,1974-07-25,577.116.942-61,67258-496,Pastor,ES,Brasil,M,(011) 6747 9404,57711694261@exemplo.com.br,2025-01-15
b56affec-4122-47e5-87d8-0c0119e531b4,Sr. Raul Lima,2006-11-01,407.040.880-08,98706-309,Monteiro Grande,AP,Brasil,M,(021) 2970-7497,40704088008@exemplo.com.br,2025-06-02
38f8e188-12f5-484d-8cf9-9bbf5ec90fb4,Dra. Isis Freitas,1977-06-15,459.316.206-30,93860-975,Cardoso,AM,Brasil,F,(071) 5504-4203,45931620630@exemplo.com.br,2024-09-02
353f4914-6613-40b2-a602-d283bda1c3b6,Alícia Lima,2005-01-29,146.611.450-42,36650475,Farias de Minas,PB,Brasil,F,(041) 3208-7109,14661145042@exemplo.com.br,2023-07-10
e1e42f8b-9b94-475d-8948-bded1e40f039,Milena Montenegro,1987-11-03,105.275.834-87,83543-736,Santos da Prata,RN,Brasil,F,+55 (061) 3484 6507,10527583487@exemplo.com.br,2025-02-05
2a39ae99-61b0-417f-b3b8-5c846215d7fc,José Pedro Mendes,1980-03-09,479.797.181-59,09668877,Alves,BA,Brasil,F,+55 (041) 9425-7965,47979718159@exemplo.com.br,2024-02-29
81ea3b83-7d94-4d62-822e-fee01a707e8b,Sr. Samuel Nogueira,1988-03-14,453.008.420-30,08088028,Pastor de Barbosa,BA,Brasil,M,(071) 9009 2249,45300842030@exemplo.com.br,2023-07-04
105ffb9e-68a5-4b2d-95e8-03438f8961b2,Miguel Caldeira,1945-09-30,409.084.216-11,79117-082,Porto,PA,Brasil,F,+55 (031) 3659-7278,40908421611@exemplo.com.br,2025-02-24
d1812caf-3805-48d0-9d40-48e5a80c133a,Arthur Miguel Cavalcante,1935-11-28,571.902.947-87,89452628,Pimenta de Cavalcanti,RS,Brasil,F,71 7408 8500,57190294787@exemplo.com.br,2023-11-03
d4b9e6af-f47d-4c43-b7f6-b6fd579142cd,Cauê Jesus,1943-01-13,257.430.045-93,78594807,Guerra,MG,Brasil,M,(084) 0676-5284,25743004593@exemplo.com.br,2023-12-31
d4f78925-5b61-4313-bbf4-163ae1181d2c,João Almeida,1995-10-25,793.251.742-20,65595-402,Vasconcelos da Mata,SE,Brasil,F,+55 11 2402-4681,79325174220@exemplo.com.br,2023-08-18
